timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Color_Punto_Dist,Confianza_Validacion,Requiere_Verificacion,Metodo_Validacion,Nota_Validacion,Version_OCR
1772168400,2026-02-27 05:00:00,2026-02-27 02:00:00,Lascar,VIIRS375,0.33,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lascar/2026-02-27/05-00-00_Lascar_VIIRS375_VRP.png,2026-02-27 06:31:02,2026-02-27 06:31:02,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=283 (dentro límite Y=257, dist≈3.33 km)",21.0
1772168400,2026-02-27 05:00:00,2026-02-27 02:00:00,Isluga,VIIRS375,0.24,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Isluga/2026-02-27/05-00-00_Isluga_VIIRS375_VRP.png,2026-02-27 06:31:12,2026-02-27 06:31:12,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=288 (dentro límite Y=257, dist≈3.01 km)",21.0
1772129161,2026-02-26 18:06:01,2026-02-26 15:06:01,Lascar,VIIRS375,0.53,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lascar/2026-02-26/18-06-01_Lascar_VIIRS375_VRP.png,2026-02-26 19:00:57,2026-02-26 19:00:57,NO,mixto,alta,False,roi_temporal_v26,"Grupo píxeles rojos Y=290 (área=5 px², dist≈2.12 km)",21.0
1772083440,2026-02-26 05:24:00,2026-02-26 02:24:00,Puyehue-Cordon Caulle,VIIRS375,0.3,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue-Cordon_Caulle/2026-02-26/05-24-00_Puyehue-Cordon_Caulle_VIIRS375_VRP.png,2026-02-26 06:02:51,2026-02-26 06:02:51,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=237 (dentro límite Y=148, dist≈10.48 km)",21.0
1772083080,2026-02-26 05:18:00,2026-02-26 02:18:00,Isluga,VIIRS375,0.19,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Isluga/2026-02-26/05-18-00_Isluga_VIIRS375_VRP.png,2026-02-26 06:02:31,2026-02-26 06:02:31,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=288 (dentro límite Y=257, dist≈3.01 km)",21.0
1772083080,2026-02-26 05:18:00,2026-02-26 02:18:00,Lascar,VIIRS375,0.42,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Lascar/2026-02-26/05-18-00_Lascar_VIIRS375_VRP.png,2026-02-26 06:02:22,2026-02-26 06:02:22,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=286 (dentro límite Y=257, dist≈3.14 km)",21.0
1771998120,2026-02-25 05:42:00,2026-02-25 02:42:00,PlanchonPeteroa,VIIRS375,0.42,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-25/05-42-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-02-25 06:31:34,2026-02-25 06:31:34,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=280 (dentro límite Y=272, dist≈2.62 km)",21.0
1771998120,2026-02-25 05:42:00,2026-02-25 02:42:00,Chaiten,VIIRS375,0.31,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Chaiten/2026-02-25/05-42-00_Chaiten_VIIRS375_VRP.png,2026-02-25 06:31:29,2026-02-25 06:31:29,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=292 (dentro límite Y=257, dist≈2.76 km)",21.0
1771998120,2026-02-25 05:42:00,2026-02-25 02:42:00,Puyehue-Cordon Caulle,VIIRS375,0.64,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Puyehue-Cordon_Caulle/2026-02-25/05-42-00_Puyehue-Cordon_Caulle_VIIRS375_VRP.png,2026-02-25 06:31:23,2026-02-25 06:31:23,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=237 (dentro límite Y=148, dist≈10.48 km)",21.0
1771997760,2026-02-25 05:36:00,2026-02-25 02:36:00,Isluga,VIIRS375,0.29,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Isluga/2026-02-25/05-36-00_Isluga_VIIRS375_VRP.png,2026-02-25 06:31:04,2026-02-25 06:31:04,NO,mixto,alta,False,roi_temporal_v26,"Estrella en Y=289 (dentro límite Y=257, dist≈2.95 km)",21.0
1771913881,2026-02-24 06:18:01,2026-02-24 03:18:01,Lascar,VIIRS375,0.14,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/Lascar/2026-02-24/06-18-01_Lascar_VIIRS375_VRP.png,2026-02-24 07:06:25,2026-02-24 07:06:25,NO,mixto,alta,False,roi_temporal_v25,"Estrella en Y=286 (dentro límite Y=257, dist≈3.14 km)",20.0
1771912800,2026-02-24 06:00:00,2026-02-24 03:00:00,PlanchonPeteroa,VIIRS375,0.09,0.0,ALERTA_TERMICA_OCR,Muy Bajo,imagenes_satelitales/PlanchonPeteroa/2026-02-24/06-00-00_PlanchonPeteroa_VIIRS375_VRP.png,2026-02-24 08:31:33,2026-02-24 08:31:33,NO,mixto,alta,False,roi_temporal_v25,"Grupo píxeles rojos Y=287 (área=31 px², dist≈0.71 km)",20.0
